Size,BM,Const_p,Mktrf_p,SMB_p,HML_p,RMW_p,CMA_p
1,1,0.012294225004998792,0.00013496893137339265,0.0010854791103791352,0.025102983377519202,0.138174960209604,0.02410592322733966
1,2,0.5218436270296087,5.212675673475168e-08,0.00040964927371578186,0.0010056013062951937,0.10162549856351454,0.0034226221453521827
1,3,0.00020170483685486972,7.222534056823269e-07,0.004130044361600422,0.9586627883532373,0.0414848982757907,0.23787764645380943
1,4,0.012505053558500661,4.344003839604862e-05,0.5042891672105974,0.43760319678824333,0.007390394942745414,0.12335754701669145
1,5,0.0032723739960546934,9.40987938141769e-08,9.609843442254826e-05,7.1653514972150335e-06,0.5749682269371733,0.7288020953664989
2,1,0.6744050582689181,4.1928485038684397e-07,1.2870746784981356e-05,0.4406977640520232,0.9954190621859172,0.44666674184790867
2,2,0.6666023452312297,2.8623629113371315e-06,0.0002436640817692878,0.7427204924054895,0.37355563551266835,0.693951330375749
2,3,0.00914408654081359,3.177183751599208e-05,0.021959287392388227,0.4658758722126678,0.03349280426460274,0.09799038558400734
2,4,0.25170185079268526,4.828088761789831e-05,0.23899771728413113,0.4765642421799161,0.0006166474039938856,0.011984798103842117
2,5,0.028380977774899317,0.019867712228282434,0.9225631428726472,0.3727517328201272,0.8353485532290665,0.583337502570195
3,1,0.6506240491102039,5.5782373927910895e-08,3.0143316809837096e-06,0.10099442426802664,0.019512950730834765,0.09257674865767483
3,2,0.316696451867425,2.726767446840819e-06,0.005192775516285392,0.45138871150945736,0.19942005480226666,0.5279774052213371
3,3,0.3119852503029203,1.4940925690692113e-06,0.0026587309398904304,0.5162615739727184,0.020690378771109984,0.06380710147249878
3,4,0.3049884338970155,0.00020919469724302206,0.20516464226852882,0.4575080846109236,0.012695460553185815,0.0667519757155258
3,5,0.51087303440208,4.813015116909354e-05,0.097261562332105,0.22833628936204178,0.33797655486506173,0.5296251289602973
4,1,0.48787945707868174,2.7365173309510487e-08,2.3645245249038214e-06,0.8877537394099504,0.5443145851876299,0.43486935452068787
4,2,0.13407901652998683,3.571027380693898e-07,3.077045246951569e-05,0.8451432072573732,0.6097827939451231,0.483603434662908
4,3,0.5422061901188482,1.1855628543937084e-06,0.0023022662814957367,0.8865235769137231,0.3496571636363106,0.9665318903575875
4,4,0.4674605335016879,9.781452089896865e-05,0.1387170744872779,0.3141552142124795,0.07535440380486916,0.179534381677188
4,5,0.7945704990849126,0.00032442529426033776,0.5279927292110069,0.914980216246331,0.8013777551623076,0.6144666479745649
5,1,0.12191983362437141,6.930430754160103e-06,0.00015783118399329268,0.5762821575528623,0.7067780557560732,0.8178687205080041
5,2,0.07885897597323033,0.00012946478316379253,0.016362791263061716,0.8413562986628166,0.08813642344940618,0.49909230072338295
5,3,0.6611109824228705,2.572982625992781e-06,0.014686557539542964,0.6337899843871733,0.3363763462021796,0.2806524398902229
5,4,0.7571479347412456,0.00018832642034103,0.3693442427586432,0.011961069596073494,0.0013653511850673678,0.09037651480508624
5,5,0.24494602600129123,3.4273648044111405e-10,0.00736637732054641,0.09006510206658243,0.015527222063992643,0.009924293303727117
