Size,Inv,Const_p,Mktrf_p,SMB_p,HML_p,RMW_p,CMA_p
1,1,0.021121352027374,3.0470310604130245e-06,8.169603707740123e-05,0.09268440681545924,0.44756674456342616,0.03658755858234774
1,2,0.06645615177981788,1.5205174632795752e-07,1.3545767865596338e-06,0.7535697290367146,0.14684369371165773,0.8751990450855912
1,3,0.029582227399219927,6.346055766747547e-07,0.005578429854192549,0.6522487547401521,0.08127693653782082,0.8795362224698137
1,4,0.7903005210863975,2.8667331310884996e-05,0.12151148086260422,0.39054092192042145,0.01129319159729381,0.6682118771300884
1,5,0.14401171602936366,1.1636476397571093e-05,0.6853675924109478,0.4592343029647402,0.32016135027662485,0.7323690291511817
2,1,0.020536055291419514,1.839697209795553e-08,5.639314623933333e-07,0.008461428654238594,0.036433158453483175,0.0037217005320682524
2,2,0.6660570075772169,1.8208210110795325e-05,0.21311304693186642,0.5178180526306388,0.0691628818472858,0.32669705391390946
2,3,0.23010532983728046,1.6494575886710324e-06,0.011250337917334905,0.4878055273856434,0.008382892535134369,0.5157076411326882
2,4,0.02029554212586632,7.109847636092572e-05,0.4541229814218942,0.08933796551812273,0.0014366207507944468,0.04500104568780183
2,5,0.8105117063149285,1.6115365038680206e-05,0.015230239448140977,0.6046823922633866,0.3371279052450218,0.011940487594775914
3,1,0.03781966108799909,6.122788848819349e-08,5.995194569838241e-07,0.46273798685492085,0.5306380261208834,0.8315426029075719
3,2,0.5325903489220059,7.653148409425392e-07,0.0005868464377914221,0.3667260226511605,0.7065626410004708,0.5912294030864809
3,3,0.14993234755329404,4.968696585483582e-06,0.013184129846670046,0.9390427777333945,0.23436912051029754,0.5614984343240537
3,4,0.06641023120682893,7.366682139818357e-06,0.19894081209970307,0.2816102356708833,0.0005068559904484418,0.027522756143758032
3,5,0.836526296198536,1.5716183381499863e-08,0.07385087090559052,0.3756365050709578,0.1731070551704545,0.2930378229134799
4,1,0.059458187920066755,6.852977565812203e-07,0.00031534153276300295,0.09173201308360919,0.20342028455565353,0.4200749853762099
4,2,0.4541469265754412,6.222264683485913e-08,1.4127279202959831e-05,0.2277692951448651,0.8592041210283917,0.780189361839547
4,3,0.04757477281897686,3.5970678196433023e-07,0.002276170570962997,0.2251030661730201,0.6759668189216609,0.8449451729956232
4,4,0.5583114591963073,2.84642232709044e-06,0.14479867883040667,0.5670781066791748,0.01106885217553545,0.04880147187406874
4,5,0.0636456358946744,2.42006058782924e-06,0.03920330098828177,0.3199088906757933,0.20186235289517637,0.5080767960357176
5,1,0.2631491764277375,8.94883102261673e-08,1.04905543945746e-06,0.866383899116299,0.9529333410127557,0.1051880148069142
5,2,0.1775584277916393,3.95690083875728e-06,0.0013838185105281488,0.5647323621894348,0.7909273780347794,0.19410444732898624
5,3,0.012764235089567167,3.116477828785582e-05,0.002582911159609745,0.06804378416498781,0.00972973620142818,0.0049745444164346385
5,4,0.008183130715839771,1.0754852017902357e-06,0.18764048800293676,0.43377989674425654,4.976244777403356e-05,0.00032170249390437903
5,5,0.7859635306198627,1.4239284468818018e-06,0.34468574334878443,0.2273358523392453,0.5698026956117461,0.12289888524579487
